Price,Close,High,Low,Open,Volume
Ticker,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP
Date,,,,,
2008-04-02,7969.84912109375,8210.09457295608,7942.349641692235,7963.399047888956,0
2008-04-03,7963.69921875,8027.798101999586,7925.499747158265,7978.799030327758,0
2008-04-04,7774.15234375,7979.548838392734,7741.253065443213,7974.09874645815,0
2008-04-07,7982.6484375,8010.74800233157,7699.204105147559,7842.501192631956,0
2008-04-08,7977.1484375,8031.697695391139,7913.550034911035,7986.098462984874,0
2008-04-09,8114.04638671875,8140.0956976195885,7911.050234682047,7966.248895376121,0
2008-04-10,8063.14697265625,8199.194198651589,8037.697747999527,8104.146195540996,0
2008-04-11,8099.896484375,8169.045566099468,8038.897639002353,8103.39641812589,0
2008-04-15,8248.494140625,8271.843307700194,8014.7480801606725,8049.797709189504,0
2008-04-16,8341.0419921875,8459.339553145279,8310.49276692196,8359.49183756492,0
2008-04-17,8573.1875,8602.33733943418,8424.690307915609,8424.690307915609,0
2008-04-21,8772.583984375,8792.333610625767,8587.587485317194,8587.587485317194,0
2008-04-22,8958.1796875,8970.030048655719,8733.23473558426,8773.983962638717,0
2008-04-23,8894.5810546875,9036.578357564547,8846.631770132552,8996.329122065948,0
2008-04-24,8836.232421875,9003.928452875814,8816.232802049602,8921.280609873718,0
2008-04-25,8963.6298828125,8976.579832635194,8791.682947066281,8869.331865715081,0
2008-04-28,8996.37890625,9086.427000351638,8957.179455584312,8993.678762230404,0
2008-04-29,9179.92578125,9196.875655605125,8993.429312687205,9016.279465941545,0
2008-04-30,9170.7763671875,9272.074251817128,9145.826644786266,9186.425484627704,0
2008-05-02,9363.6220703125,9405.52166562578,9236.225074419515,9236.225074419515,0
2008-05-05,9435.771484375,9540.819299485542,9363.022862214055,9366.172216628642,0
2008-05-06,9257.07421875,9447.62040518339,9185.525772685645,9426.120813436044,0
2008-05-07,9159.826171875,9279.123712625671,9128.126578132971,9247.274707656552,0
2008-05-08,8964.48046875,9099.877316363023,8946.030623154627,9099.877316363023,0
2008-05-09,8660.8359375,8986.679374412059,8606.086974611404,8952.680018462976,0
2008-05-12,8653.6357421875,8669.685242595822,8398.19038981089,8604.186484373307,0
2008-05-13,8664.1357421875,8873.181588420843,8635.636281848103,8644.78649920625,0
2008-05-14,8750.083984375,8771.233973720571,8597.636681450083,8625.086355959025,0
2008-05-15,8910.380859375,8924.680392936136,8767.234159446085,8767.234159446085,0
2008-05-16,9014.7294921875,9036.028893087583,8951.73068649926,8958.23056327662,0
2008-05-20,8887.53125,9000.178522722215,8821.782499834497,8987.5791528518,0
2008-05-21,8895.130859375,8920.380379810596,8781.833206550993,8849.482312315828,0
2008-05-22,8704.9345703125,8858.43166012224,8684.684954230108,8858.43166012224,0
2008-05-23,8540.837890625,8807.382636159913,8525.187797046605,8719.58449792499,0
2008-05-26,8244.693359375,8476.089364679134,8227.893873064379,8476.089364679134,0
2008-05-27,8112.34619140625,8359.641307423772,8075.346892906154,8327.09211986289,0
2008-05-28,8278.6923828125,8300.441969750555,8080.096545112959,8133.345533823365,0
2008-05-29,8210.544921875,8371.441293151316,8162.1454465550105,8342.392037827807,0
2008-05-30,8221.193359375,8305.04235169896,8113.095804475818,8281.192219051276,0
2008-06-02,7939.44970703125,8304.993075805287,7881.300906153576,8228.04433807098,0
2008-06-03,7897.55029296875,7929.199594581348,7705.803932480722,7880.300620382474,0
2008-06-04,7595.85595703125,7960.2489492586565,7569.756354311223,7904.850097463405,0
2008-06-05,7749.80322265625,7778.702576932553,7471.258212208732,7596.206037923797,0
2008-06-06,7648.0048828125,7853.900881008488,7621.905280050306,7783.102418783495,0
2008-06-09,7357.41015625,7450.758482094217,7158.163938073013,7448.208725802752,0
2008-06-10,7225.61328125,7430.809593960112,7126.8153459581745,7325.711484907672,0
2008-06-11,7376.810546875,7395.859990942543,7271.912142053788,7271.912142053788,0
2008-06-12,7414.8095703125,7424.859184404818,7123.014811354784,7254.312614205163,0
2008-06-13,7404.60986328125,7478.458563306201,7362.810849665356,7444.908905285014,0
2008-06-16,7483.9580078125,7588.905722314617,7442.758594708847,7442.758594708847,0
2008-06-17,7752.65283203125,7766.852758145464,7453.808888057398,7486.757970449023,0
2008-06-18,7603.7060546875,7835.851559316842,7584.756218356615,7768.202938493985,0
2008-06-19,7410.6591796875,7542.506775397877,7397.109632116821,7542.506775397877,0
2008-06-20,7105.8154296875,7464.158242897632,7065.5661930359975,7443.059033680523,0
2008-06-23,6797.4208984375,7050.716387912074,6772.871559303523,7043.066630638277,0
2008-06-24,6699.8232421875,6891.069618312031,6652.773840745038,6831.370554220829,0
2008-06-25,6790.9208984375,6808.620757768691,6530.126044195924,6658.573801294383,0
2008-06-26,6761.822265625,6935.26869115222,6730.222765812641,6826.170657566392,0
2008-06-27,6488.02685546875,6624.674166265802,6466.377363712436,6624.674166265802,0
2008-06-30,6233.08203125,6535.276009419036,6200.93225010659,6495.026772446593,0
2008-07-01,5916.6376953125,6269.530899331452,5904.537827325864,6239.081770260202,0
2008-07-02,6276.3310546875,6326.330105579156,5756.740820167013,5909.83801165166,0
2008-07-03,5982.38671875,6255.631544641925,5860.489124634134,6255.631544641925,0
2008-07-04,6218.93212890625,6243.9819478777035,5899.788265461572,5978.98696216172,0
2008-07-07,6360.7294921875,6507.326810219451,6249.881496314468,6249.881496314468,0
2008-07-08,6371.57958984375,6447.277864008046,6116.08442602504,6250.081889632504,0
2008-07-09,6699.5732421875,6718.272594876589,6471.927165326946,6471.927165326946,0
2008-07-10,6691.27294921875,6734.622224411772,6572.075503713568,6652.123789649683,0
2008-07-11,6446.6279296875,6752.671939269668,6381.979251500695,6729.472671528833,0
2008-07-14,6382.37890625,6525.076394143499,6319.330297792392,6387.579002900354,0
2008-07-15,6118.78369140625,6313.6798921858735,6088.934160666911,6313.6798921858735,0
2008-07-16,6012.08642578125,6208.182324341587,5955.537202919967,6118.684017960017,0
2008-07-17,6205.43212890625,6244.631580865824,6100.934110538745,6139.733667737913,0
2008-07-18,6395.22900390625,6418.678266925379,6201.082777723989,6236.431717766319,0
2008-07-21,6434.22802734375,6462.627390894164,6312.480337143546,6454.277451653141,0
2008-07-22,6648.52392578125,6672.873562059379,6436.927837458221,6438.578196812129,0
2008-07-23,7164.064453125,7203.663312194669,6820.320966256359,6820.320966256359,0
2008-07-24,7117.115234375,7363.060772603403,7029.266800166474,7225.013093626576,0
2008-07-25,6985.267578125,7076.816136859323,6919.819110905567,7024.467030869388,0
2008-07-28,7024.66650390625,7060.665820779576,6946.31838127314,6986.7175169988095,0
2008-07-29,6650.52392578125,6948.668180571699,6627.574653463185,6948.668180571699,0
2008-07-30,6924.96875,6942.718413337589,6719.272456181799,6719.272456181799,0
2008-07-31,6936.66845703125,6974.6677375048,6862.570250725431,6956.268183561482,0
2008-08-01,7166.064453125,7177.013952746864,6799.421007592897,6877.669525381141,0
2008-08-04,7256.8623046875,7326.360985984976,7128.91453711954,7148.764258137317,0
2008-08-05,7515.75732421875,7530.3571449082265,7213.263062704277,7213.263062704277,0
2008-08-06,7420.25927734375,7711.253762563477,7392.009812713313,7650.855004866428,0
2008-08-07,7442.90869140625,7521.257303617735,7369.710372173163,7369.710372173163,0
2008-08-08,7465.25830078125,7486.808184990229,7313.3114758884285,7398.359667375646,0
2008-08-11,7654.90478515625,7679.304713533022,7580.006301738438,7584.506216489105,0
2008-08-12,7513.00732421875,7695.603956646716,7462.808569834552,7656.054902501541,0
2008-08-13,7439.65869140625,7551.306964319298,7430.609058369557,7474.058429547027,0
2008-08-14,7173.46435546875,7408.9096072114635,7157.064763451557,7405.8598602337825,0
2008-08-18,7080.4658203125,7229.313095157766,7059.26602704303,7156.664082283428,0
